gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACKR1,133.4975488,0.717631748,0.438750564,1.635625814,0.101917924,0.535615993
ACKR2,2.089147702,-4.386970036,1.828266643,-2.399524191,0.016416395,NA
ACKR3,8.09858137,-3.35314492,1.772758651,-1.891484166,0.058559743,NA
ACKR4,5.558049558,1.208975199,0.774020777,1.561941533,0.118301763,NA
ACLY,352.7284338,-0.206950264,0.129879226,-1.593405438,0.111069266,0.54540832
ACO1,163.260227,-0.051403255,0.134612445,-0.381861091,0.702564402,0.918463161
ACO2,784.3675438,-0.067615724,0.127240245,-0.531402027,0.595140217,0.884263306
ACOD1,56.63595964,-0.771627566,0.358414025,-2.152894455,0.031326974,NA
ACOT11,2.690051868,-0.589644398,0.99269682,-0.593982358,0.552523913,NA
ACOT12,10.97688118,-0.224595076,0.346903968,-0.647427233,0.517355475,NA
ACOT13,425.9710122,0.083075287,0.205304088,0.404645067,0.685738426,0.913255822
ACOT7,245.1446607,0.024239517,0.220417794,0.109970779,0.912432549,0.976424889
ACOT8,1351.694796,-0.045081446,0.133996957,-0.33643634,0.73654185,0.929621831
ACOT9,350.4504719,0.068885408,0.205083216,0.33589003,0.736953795,0.929757938
ACOX1,217.7352777,0.021747135,0.182900875,0.118901207,0.905353626,0.974960992
ACOX3,9.427041286,0.520756444,0.518554092,1.0042471,0.315259525,NA
ACOXL,11.84379496,-0.363110235,0.469900584,-0.77273842,0.439677204,NA
ACP1,1454.209899,-0.054914513,0.155520651,-0.353101101,0.724012647,0.925267382
ACP2,177.721055,0.790455301,0.271318742,2.913382601,0.003575362,0.20017189
ACP3,118.1320851,-0.267778182,0.218624679,-1.224830531,0.220639079,0.661556598
ACP5,2639.490033,0.105003513,0.213757584,0.491227075,0.623265852,0.894965024
ACP6,58.20106501,-0.119311049,0.366315564,-0.325705651,0.744647068,NA
ACP7,1.814862104,1.259855502,0.940363569,1.339753627,0.180325457,NA
ACSBG1,1.290381615,-2.044257256,2.082034626,-0.981855551,0.326171016,NA
ACSF2,14.06417465,0.152345288,0.408079448,0.373322619,0.708908344,NA
ACSF3,60.48559512,-0.381718993,0.250476509,-1.523971225,0.127515899,0.564797599
ACSL1,57.15003241,0.14006375,0.39745073,0.352405315,0.724534316,NA
ACSL3,94.49130098,0.127767966,0.219209229,0.582858516,0.559988549,0.875143121
ACSL4,1742.107209,0.097503013,0.28633992,0.340514915,0.733468793,0.928163881
ACSL5,741.7747036,-0.091997628,0.177171581,-0.519257251,0.60358136,0.887898674
ACSL6,2.713071319,-0.293697964,0.640968294,-0.458209816,0.646801708,NA
ACSM1,4.316957098,0.076947102,0.894724493,0.086000889,0.931465711,NA
ACSS1,4194.971434,0.53914093,0.39560571,1.362823935,0.172938006,0.614813438
